ville,code_commune,departement,region,annee,score_sportif,score_economique
Oyonnax,01283,Ain,Rhône-Alpes,2 023,"0,117","0,001"
Grenoble,38185,Isère,Rhône-Alpes,2 015,"0,116","0,520"
Massy,91377,Essonne,Île-de-France,2 021,"0,115","0,521"
Massy,91377,Essonne,Île-de-France,2 019,"0,115","0,518"
Massy,91377,Essonne,Île-de-France,2 016,"0,115","0,511"
Auxerre,89024,Yonne,Bourgogne,2 014,"0,115","0,524"
Le Havre,76351,Seine-Maritime,Haute-Normandie,2 021,"0,114","0,585"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 022,"0,113","0,003"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 019,"0,112","0,534"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 020,"0,111","0,506"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 019,"0,111","0,506"
Courbevoie,92026,Hauts-de-Seine,Île-de-France,2 013,"0,111","0,566"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 019,"0,111","0,438"
Courchevel,73227,Savoie,Rhône-Alpes,2 016,"0,111","0,385"
Oyonnax,01283,Ain,Rhône-Alpes,2 022,"0,110","0,001"
Oyonnax,01283,Ain,Rhône-Alpes,2 017,"0,110","0,536"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 014,"0,109","0,498"
Grenoble,38185,Isère,Rhône-Alpes,2 014,"0,108","0,519"
Chartres,28085,Eure-et-Loir,Centre,2 015,"0,107","0,521"
Auxerre,89024,Yonne,Bourgogne,2 017,"0,105","0,524"
Grenoble,38185,Isère,Rhône-Alpes,2 017,"0,104","0,527"
Oyonnax,01283,Ain,Rhône-Alpes,2 021,"0,104","0,488"
Nancy,54395,Meurthe-et-Moselle,Lorraine,2 023,"0,103","0,009"
Angoulême,16015,Charente,Poitou-Charentes,2 017,"0,103","0,610"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 019,"0,103","0,583"
Narbonne,11262,Aude,Languedoc-Roussillon,2 016,"0,103","0,568"
Vernon,27681,Eure,Haute-Normandie,2 014,"0,103","0,560"
Vernon,27681,Eure,Haute-Normandie,2 019,"0,103","0,539"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 015,"0,103","0,529"
Mont-de-Marsan,40192,Landes,Aquitaine,2 020,"0,103","0,520"
Besancon,25056,Doubs,Franche-Comté,2 017,"0,103","0,510"
Aurillac,15014,Cantal,Auvergne,2 018,"0,103","0,500"
Pontault-combault,77373,Seine-et-Marne,Île-de-France,2 016,"0,103","0,497"
Pontault-combault,77373,Seine-et-Marne,Île-de-France,2 012,"0,103","0,492"
Aurillac,15014,Cantal,Auvergne,2 021,"0,103","0,492"
Aurillac,15014,Cantal,Auvergne,2 014,"0,103","0,486"
Vannes,56260,Morbihan,Bretagne,2 022,"0,103","0,004"
Biarritz,64122,Pyrénées-Atlantiques,Aquitaine,2 023,"0,103","0,003"
Denain,59172,Nord,Nord-Pas-de-Calais,2 017,"0,103","0,616"
Vichy,03310,Allier,Auvergne,2 018,"0,103","0,577"
Saint-vallier,26333,Drôme,Rhône-Alpes,2 012,"0,103","0,573"
Evreux,27229,Eure,Haute-Normandie,2 019,"0,103","0,561"
Evreux,27229,Eure,Haute-Normandie,2 021,"0,103","0,557"
Fos-sur-mer,13039,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 020,"0,103","0,529"
Poitiers,86194,Vienne,Poitou-Charentes,2 015,"0,103","0,514"
Boulazac,24053,Dordogne,Aquitaine,2 014,"0,103","0,474"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 022,"0,103","0,003"
Grenoble,38185,Isère,Rhône-Alpes,2 013,"0,103","0,510"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 021,"0,099","0,503"
Petit-Quevilly,76498,Seine-Maritime,Haute-Normandie,2 022,"0,099","0,001"
Chartres,28085,Eure-et-Loir,Centre,2 017,"0,098","0,528"
Chartres,28085,Eure-et-Loir,Centre,2 013,"0,098","0,512"
Oyonnax,01283,Ain,Rhône-Alpes,2 020,"0,097","0,496"
